"UNITID","GBA4RTT","GRRTM","GRRTW"
128744,34,44,46
128771,30,54,61
128902,80,84,84
129020,73,81,87
129154,2,42,37
129215,46,52,61
129242,80,84,83
129525,50,56,62
129774,33,38,49
129941,51,61,62
130110,56,50,64
130183,22,29,34
130226,65,74,79
130253,68,68,75
130314,49,NA,55
130493,29,46,55
130590,79,82,84
130624,89,90,87
130697,88,89,94
130776,33,48,56
130794,88,97,98
130934,27,35,45
130943,72,77,83
130989,49,62,56
131098,17,25,33
131113,13,20,22
131159,75,76,80
131283,65,68,77
131399,7,10,16
131450,27,49,53
131469,76,81,83
131496,91,93,96
131520,52,62,66
131803,50,67,33
131876,15,NA,38
132408,21,35,57
132471,21,35,34
132602,15,27,37
132657,46,43,61
132842,22,50,20
132879,21,28,40
132903,44,66,78
133465,4,6,21
133492,59,65,67
133526,17,19,39
133553,32,60,71
133650,22,41,59
133669,28,46,54
133711,41,50,55
133809,17,43,59
133872,21,60,35
133881,44,54,73
133951,34,57,67
133979,20,29,42
134079,61,65,69
134097,68,79,86
134112,17,34,44
134130,67,85,91
134237,42,42,47
134510,50,40,71
134811,27,23,44
134945,40,46,59
135081,58,70,68
135364,25,50,NA
135726,73,80,86
136172,35,62,71
136215,48,57,58
136330,47,51,60
136774,57,61,72
136950,67,69,78
137032,32,46,51
137272,69,69,NA
137351,60,71,78
137476,34,45,42
137546,60,60,69
137564,29,34,55
137777,50,75,NA
137847,49,52,63
137953,15,35,31
137962,10,0,33
138275,28,34,61
138293,27,32,57
138309,11,15,28
138354,25,42,50
138558,8,28,25
138600,70,NA,73
138716,12,18,26
138813,14,20,26
138868,22,22,40
138901,0,16,17
138947,31,41,45
139144,63,62,76
139153,3,30,4
139199,40,0,46
139205,7,15,29
139250,11,26,27
139311,8,24,34
139366,15,32,42
139393,59,60,68
139463,7,21,29
139579,4,5,14
139630,33,36,47
139658,82,87,92
139719,11,31,39
139755,46,89,91
139764,19,29,45
139861,49,61,65
139931,25,43,56
139940,28,47,60
139959,65,85,89
140234,36,35,51
140252,17,24,37
140340,36,48,28
140447,52,60,71
140553,33,54,NA
140696,35,41,54
140720,7,10,19
140818,37,42,47
140872,27,28,49
140951,57,68,71
140960,10,23,34
140988,29,27,48
141060,68,NA,75
141167,11,45,50
141185,34,43,48
141237,29,35,44
141264,18,30,47
141325,42,NA,50
141334,21,35,51
141361,30,47,39
141486,43,59,60
141565,21,41,46
141574,34,58,62
141644,30,40,47
141839,50,17,21
141981,9,25,29
142090,28,45,57
142115,26,46,55
142276,16,35,36
142285,35,53,59
142294,54,61,70
142328,16,35,41
142461,42,55,64
142522,19,48,63
142887,32,43,62
142957,0,0,100
143048,49,67,71
143084,65,70,71
143118,40,44,62
143288,29,38,44
143358,60,75,80
144005,7,16,17
144050,90,94,95
144281,42,50,50
144351,34,43,50
144740,61,73,74
144883,10,11,11
144892,36,49,55
144962,57,66,74
144971,45,37,60
145372,50,55,57
145497,4,4,4
145600,34,58,62
145619,34,43,48
145637,70,82,89
145646,72,74,80
145691,59,58,67
145725,40,68,78
145813,50,63,74
146339,51,51,62
146427,64,73,74
146481,71,76,78
146612,51,61,71
146667,45,48,68
146676,3,28,40
146719,66,70,76
146825,37,36,56
147013,47,53,67
147129,14,0,31
147244,51,49,67
147341,54,57,66
147369,53,62,73
147536,11,50,17
147660,61,69,69
147679,44,57,65
147703,25,46,51
147767,84,93,94
147776,4,17,24
147828,54,60,67
148016,62,73,85
148131,40,50,56
148335,66,38,42
148405,26,34,46
148487,29,40,41
148496,51,59,66
148584,42,59,65
148627,39,50,59
148654,42,51,56
148876,1,4,18
149222,32,45,52
149231,28,49,52
149329,0,6,NA
149505,56,64,69
149514,48,52,71
149639,47,67,67
149772,33,53,48
149781,82,85,92
150066,52,53,65
150136,53,62,69
150145,59,71,65
150163,73,79,84
150172,27,39,53
150400,80,81,87
150455,56,55,71
150534,55,64,71
150604,60,56,75
150668,52,66,63
150677,68,60,75
150756,67,62,74
150774,36,50,54
150941,59,67,72
151102,17,36,44
151111,28,46,53
151263,47,56,61
151290,27,34,43
151306,31,46,54
151324,29,39,43
151333,22,35,40
151342,16,35,40
151351,67,75,83
151360,16,34,35
151379,19,31,38
151388,30,31,46
151777,46,50,59
151786,42,50,76
151801,61,67,74
151810,0,17,6
151962,0,89,100
152080,91,95,97
152099,37,42,61
152318,78,84,93
152336,44,41,62
152381,46,NA,56
152390,72,NA,79
152530,69,72,81
152567,50,61,71
152600,62,70,73
152637,10,28,26
152673,71,74,NA
152992,35,31,53
153001,52,60,60
153108,62,62,72
153126,53,56,67
153144,64,62,68
153162,68,66,71
153241,100,NA,100
153250,70,75,75
153269,73,77,84
153278,28,38,50
153302,36,56,76
153320,26,45,42
153366,44,39,56
153375,43,46,64
153384,85,85,91
153603,47,71,78
153621,25,22,43
153658,55,70,74
153825,59,61,73
153834,67,70,79
153861,44,78,56
153977,0,60,28
154004,56,53,69
154013,51,55,68
154022,1,5,9
154095,43,63,70
154101,62,57,77
154235,55,56,69
154350,70,73,70
154493,41,42,54
154518,22,35,24
154527,58,62,63
154590,25,25,53
154688,45,66,62
154712,50,53,75
154721,30,32,35
154749,37,35,59
154855,22,23,44
155025,29,41,54
155061,23,40,46
155070,23,47,50
155089,35,36,60
155283,40,51,58
155317,48,65,68
155335,48,50,53
155399,37,61,69
155414,34,42,42
155496,38,51,71
155511,35,40,41
155520,34,35,50
155627,43,51,51
155681,29,50,55
155812,36,38,64
155900,37,36,50
155937,44,52,54
155973,33,36,54
156082,18,40,50
156125,23,44,56
156189,31,46,57
156213,57,66,70
156286,57,61,70
156295,55,59,76
156356,22,27,39
156365,28,30,42
156408,82,83,85
156417,20,20,NA
156541,36,33,58
156620,30,39,49
156745,38,38,50
157030,25,40,44
157058,12,18,31
157076,35,38,55
157085,45,63,70
157100,26,32,41
157216,31,32,45
157289,37,55,62
157377,35,25,45
157386,28,44,47
157401,31,51,57
157447,26,40,50
157535,19,22,34
157748,27,36,31
157757,23,31,44
157809,38,45,64
157818,66,65,75
157863,26,36,42
157951,31,42,54
158477,50,50,66
158802,30,52,50
159009,11,29,40
159382,18,23,31
159391,41,62,73
159416,14,29,34
159568,24,26,50
159647,39,54,67
159656,51,60,64
159717,24,41,50
159939,25,39,46
159948,4,25,29
159966,24,42,54
159993,41,46,47
160038,28,39,48
160065,14,33,41
160074,11,30,29
160409,50,64,NA
160612,18,33,44
160621,9,32,47
160630,6,13,25
160658,23,46,56
160755,77,83,88
160904,38,48,53
160959,45,43,58
160977,87,90,91
161004,89,93,97
161086,86,86,92
161217,9,9,16
161226,46,51,62
161235,21,36,36
161244,19,14,41
161253,38,55,59
161299,50,70,73
161341,25,28,45
161457,63,63,70
161509,50,52,55
161518,62,69,66
161554,20,39,41
161563,43,47,56
161572,46,51,66
161873,16,39,43
162007,16,36,48
162061,37,50,60
162210,17,46,38
162283,12,24,26
162584,25,43,58
162654,55,63,68
162760,55,59,68
162928,87,90,96
163046,79,80,85
163204,3,19,11
163268,42,67,77
163286,69,84,90
163295,67,66,74
163338,22,35,46
163453,17,40,46
163462,62,65,71
163532,33,48,NA
163578,56,NA,63
163851,52,64,74
163912,68,76,77
163976,67,63,77
164076,48,68,73
164155,90,92,92
164173,49,51,66
164216,68,72,74
164270,60,61,77
164447,34,38,49
164465,88,95,96
164492,36,33,54
164562,68,64,74
164580,90,90,97
164614,0,57,14
164632,50,NA,54
164641,17,38,31
164720,37,43,49
164739,85,86,95
164748,54,64,68
164872,0,9,25
164924,90,94,94
164988,84,87,89
165015,81,86,88
165024,37,55,65
165167,0,14,0
165264,0,100,0
165334,73,76,80
165529,46,46,57
165574,42,31,62
165644,31,42,39
165662,79,80,83
165671,59,53,70
165699,70,70,77
165802,26,29,36
165820,38,53,62
165866,48,56,63
165936,60,68,70
166018,51,59,65
166027,85,97,98
166054,63,50,83
166124,87,90,90
166391,55,46,66
166452,51,62,59
166513,41,62,73
166629,74,80,84
166638,24,43,55
166656,53,72,75
166674,54,72,70
166683,87,94,97
166692,63,75,83
166850,68,75,75
166911,51,64,56
166939,79,NA,83
167057,67,80,82
167260,55,51,72
167288,52,58,63
167358,0,86,91
167394,65,80,70
167455,16,100,37
167598,63,67,68
167729,40,52,60
167783,72,NA,81
167835,83,NA,89
167899,70,66,82
167987,37,55,65
167996,77,78,86
168005,42,54,60
168148,88,94,95
168218,84,NA,91
168227,60,72,77
168254,57,60,72
168263,50,57,65
168281,69,74,76
168342,88,94,96
168421,82,88,92
168430,41,51,62
168528,35,38,64
168546,61,65,75
168591,57,56,76
168740,37,52,64
168786,40,59,61
168847,8,13,14
169080,64,75,77
169248,28,57,64
169327,12,43,45
169363,27,36,43
169442,44,68,72
169479,39,45,52
169716,50,67,67
169798,19,37,52
169910,30,46,48
169983,8,63,65
170000,20,40,48
170037,51,54,65
170082,38,63,70
170091,16,17,29
170286,74,86,85
170301,72,75,84
170532,76,79,91
170639,33,52,49
170675,22,57,66
170806,30,43,70
170967,29,44,61
170976,80,91,96
171100,56,78,83
171128,30,67,76
171137,22,55,57
171146,16,42,38
171456,29,44,52
171492,44,49,61
171571,30,53,60
171599,31,41,51
171881,27,63,43
172033,0,0,NA
172051,15,36,49
172264,33,38,58
172334,39,52,62
172440,19,27,49
172644,20,46,49
172699,27,53,60
173045,47,51,63
173124,29,43,52
173142,43,45,61
173160,64,75,72
173258,88,91,93
173300,69,65,77
173328,39,50,53
173452,39,73,66
173647,73,75,81
173665,63,65,73
173902,86,89,92
173920,26,47,52
174020,13,35,33
174066,69,81,85
174075,43,41,60
174127,52,63,64
174154,100,0,60
174233,38,63,60
174251,47,53,62
174358,34,45,58
174437,41,45,56
174491,56,61,72
174507,50,25,60
174525,28,14,50
174747,75,NA,80
174783,24,45,51
174792,70,75,NA
174817,60,59,69
174844,81,85,88
174862,41,44,57
174899,59,63,72
174914,66,76,76
175005,48,0,58
175014,30,37,32
175078,35,41,57
175227,0,49,58
175272,37,52,63
175342,22,34,45
175421,40,36,63
175430,37,38,57
175616,20,32,43
175856,20,35,40
175980,63,59,87
176017,46,60,71
176035,24,42,39
176044,19,25,38
176053,45,49,65
176080,35,57,65
176318,16,14,36
176336,0,40,0
176372,28,44,51
176406,27,39,56
176479,30,40,54
176628,40,44,60
176664,15,30,36
176770,0,NA,0
176789,9,31,40
176910,18,45,33
176947,22,34,61
176965,30,46,55
177065,17,27,29
177083,53,58,NA
177117,55,NA,58
177144,45,47,56
177214,39,52,63
177339,44,51,59
177418,44,42,63
177542,33,31,51
177551,3,16,18
177746,50,61,61
177816,88,88,NA
177940,8,24,30
177968,32,45,55
178059,58,64,76
178208,13,70,93
178244,31,33,57
178341,15,28,36
178369,11,18,33
178387,14,36,39
178396,48,65,77
178402,23,47,52
178411,24,63,75
178420,32,50,54
178615,60,71,78
178624,33,49,54
178679,22,52,56
178697,58,66,77
178721,26,36,79
178767,100,NA,100
178891,29,53,43
179043,70,76,76
179159,71,75,82
179256,23,33,50
179326,33,45,48
179548,42,NA,46
179557,30,46,53
179566,33,51,59
179867,89,94,95
179894,38,56,60
179946,46,57,62
179955,53,63,62
179964,47,54,59
180106,49,59,66
180179,11,25,24
180258,28,37,39
180416,24,51,61
180461,27,53,62
180489,30,39,49
180522,19,33,22
180595,31,53,43
180647,14,51,54
180692,20,47,50
180814,9,26,23
180832,32,0,41
180878,51,40,58
180948,27,40,50
180984,46,55,75
181002,69,77,84
181020,44,47,62
181127,49,52,68
181215,27,51,60
181297,44,0,77
181330,36,31,52
181376,37,36,47
181394,24,46,53
181446,55,57,71
181464,41,61,70
181534,21,22,44
181543,67,50,100
181604,47,NA,57
181738,25,41,49
181783,34,49,53
181853,22,35,61
182281,17,40,48
182290,33,57,65
182306,3,56,26
182458,41,47,41
182634,53,64,61
182670,87,94,96
182795,41,44,54
182917,100,100,90
182980,23,31,28
183026,40,43,45
183044,68,73,79
183062,55,60,64
183071,52,47,49
183080,45,52,57
183211,37,49,45
183239,74,72,82
183257,11,33,16
183275,64,57,71
183789,23,33,49
183822,19,28,39
183910,54,61,71
183974,50,53,54
184348,66,67,71
184603,38,46,51
184612,26,48,46
184694,46,59,66
184773,39,56,53
184782,49,72,74
185129,13,39,42
185262,21,42,50
185572,60,75,72
185590,45,61,70
185828,37,64,81
186131,90,97,99
186186,0,12,NA
186201,59,68,76
186283,59,68,67
186371,34,58,71
186380,65,81,87
186399,40,61,78
186432,47,53,65
186584,67,69,76
186618,47,NA,53
186867,46,82,91
186876,61,73,80
186900,0,6,NA
187134,75,81,89
187444,34,47,64
187596,0,17,15
187648,22,29,43
187745,14,43,22
187897,11,17,28
187967,27,47,62
187985,29,50,57
188030,22,44,52
188058,11,20,24
188182,23,19,42
188304,14,35,34
188340,13,32,44
188429,61,64,78
188526,38,76,67
188641,43,50,66
188854,61,78,74
189088,64,75,79
189097,84,NA,92
189228,25,31,39
189273,0,6,NA
189413,16,76,80
189565,0,22,30
189583,0,17,23
189705,68,69,77
189848,57,48,62
189857,0,7,NA
190044,61,77,81
190099,88,90,91
190114,17,20,22
190150,86,95,96
190248,37,38,51
190372,69,92,91
190415,87,93,96
190512,44,63,79
190549,27,46,60
190558,21,26,37
190567,22,51,61
190594,25,49,62
190600,30,48,55
190637,24,47,57
190646,7,9,16
190655,6,15,22
190664,27,48,64
190691,9,28,39
190716,26,64,62
190725,45,65,60
190752,17,17,NA
190761,35,37,56
190983,62,54,73
191205,36,47,46
191241,78,82,84
191515,89,93,94
191533,59,57,71
191621,48,57,46
191630,73,76,78
191649,55,60,68
191676,66,71,77
191931,59,59,69
191968,70,69,79
192040,70,100,83
192110,93,95,98
192165,0,43,NA
192192,47,52,57
192271,40,39,55
192323,65,69,78
192448,27,44,48
192624,0,26,NA
192703,56,71,71
192712,85,81,92
192749,54,63,59
192819,77,82,86
192864,44,47,55
192925,31,34,40
193016,28,43,44
193052,0,29,NA
193061,0,100,NA
193070,0,50,NA
193247,0,14,NA
193292,48,68,77
193308,62,54,65
193353,49,58,64
193399,31,45,52
193584,61,72,71
193654,57,61,73
193900,76,83,86
193973,66,69,75
194091,32,49,63
194116,78,100,75
194161,25,29,42
194189,0,100,NA
194310,44,55,58
194392,39,44,55
194569,36,40,68
194578,45,68,71
194657,2,32,NA
194666,0,89,NA
194693,0,36,NA
194763,12,38,NA
194824,66,82,90
194958,54,53,67
195003,25,62,76
195030,80,87,88
195128,60,62,73
195164,69,70,79
195173,33,49,65
195216,79,83,85
195234,46,60,62
195243,48,56,60
195304,68,74,80
195438,8,8,NA
195474,75,77,82
195526,85,84,91
195544,55,61,62
195562,63,70,73
195720,67,75,76
195809,43,58,67
196006,53,62,56
196015,44,45,48
196024,21,48,47
196033,39,40,47
196042,35,49,56
196051,42,31,40
196060,56,58,68
196079,72,78,86
196088,59,72,80
196097,59,72,83
196103,64,74,78
196112,45,55,67
196121,47,58,69
196130,28,37,54
196149,55,66,74
196158,49,61,66
196167,72,75,83
196176,62,74,78
196185,66,74,77
196194,52,65,68
196200,45,55,64
196219,53,55,65
196237,33,46,50
196246,51,64,71
196264,14,28,23
196291,41,74,82
196413,72,80,85
196431,7,15,NA
196440,0,14,NA
196583,15,15,NA
196592,48,61,61
196866,78,79,86
197018,0,48,NA
197027,75,78,92
197036,80,84,87
197045,37,49,59
197133,86,91,92
197142,14,34,41
197151,58,64,73
197197,70,63,77
197221,77,86,50
197230,54,53,57
197285,51,51,44
197601,0,50,NA
197647,0,37,NA
197674,0,14,NA
197692,13,25,NA
197708,71,79,85
197735,0,74,NA
197744,0,67,NA
197869,53,68,77
197911,45,57,54
197984,36,36,54
197993,28,NA,63
198066,34,33,53
198136,38,49,59
198215,41,44,57
198303,12,23,32
198385,87,90,92
198419,88,95,95
198464,41,61,70
198507,18,27,49
198516,82,84,86
198543,16,31,36
198561,49,58,55
198598,26,22,46
198613,48,50,64
198677,17,25,0
198695,61,63,67
198756,35,35,59
198808,40,43,50
198835,41,44,60
198862,14,18,31
198899,21,25,37
198950,57,NA,66
198969,28,41,54
198978,27,26,23
199032,24,32,36
199069,37,55,54
199102,25,45,56
199111,39,52,64
199120,84,88,92
199139,37,60,68
199148,38,55,60
199157,25,43,52
199184,72,80,69
199193,57,78,87
199209,36,36,49
199218,56,68,74
199272,31,39,45
199281,24,34,46
199306,37,36,52
199412,51,56,61
199458,15,15,40
199582,13,12,22
199607,58,NA,59
199643,8,11,23
199698,34,28,52
199759,34,60,59
199847,84,87,89
199865,36,39,45
199962,41,49,51
199971,0,100,NA
199999,27,44,54
200004,43,61,63
200013,60,44,35
200059,17,33,50
200156,31,41,49
200217,50,50,66
200226,17,28,43
200253,24,33,53
200280,32,56,67
200332,35,60,61
200484,42,40,69
200527,17,33,24
200572,31,47,54
200800,25,43,49
200873,13,50,50
201061,44,33,58
201104,54,55,71
201195,51,60,70
201371,45,48,65
201441,42,56,64
201469,0,23,17
201548,54,56,67
201645,68,82,87
201654,62,74,76
201690,15,24,32
201885,35,70,73
201964,35,29,34
202046,51,63,57
202073,74,75,92
202134,27,46,47
202170,60,54,71
202480,65,78,86
202514,30,33,38
202523,78,81,84
202763,55,63,66
202806,22,27,30
202903,17,31,68
203085,44,39,63
203128,45,49,60
203368,68,71,82
203447,3,23,31
203456,5,20,20
203465,12,26,32
203474,3,15,17
203483,9,24,32
203492,12,20,27
203517,51,54,66
203526,4,20,26
203535,87,89,92
203544,37,50,44
203580,37,45,49
203757,22,34,36
203775,45,45,61
203845,52,51,71
203960,31,80,48
204006,3,9,13
204015,6,13,23
204024,71,77,85
204176,66,43,77
204185,58,57,75
204194,57,70,67
204200,33,37,54
204264,39,42,63
204468,22,32,45
204486,25,63,48
204501,76,84,88
204617,39,46,48
204635,59,71,82
204671,7,7,22
204680,4,13,23
204699,3,6,19
204705,2,15,22
204796,62,83,89
204802,23,45,42
204820,10,19,21
204839,9,16,24
204848,16,33,34
204857,45,61,69
204866,23,25,36
204909,59,61,68
204936,57,60,69
205027,54,62,NA
205124,19,19,NA
205203,17,33,32
205443,10,33,36
205957,68,68,82
206048,34,35,44
206084,28,49,52
206154,0,100,NA
206279,42,25,75
206349,35,67,53
206437,43,54,74
206491,9,10,28
206507,50,44,64
206525,58,55,69
206589,75,74,80
206604,25,42,47
206613,21,32,45
206622,67,71,75
206695,19,37,45
206817,7,13,22
206835,27,33,46
206862,54,47,64
206914,10,22,20
206941,14,30,40
207041,22,27,45
207157,35,54,44
207209,17,11,23
207263,15,28,37
207306,17,27,35
207324,41,50,61
207351,32,19,40
207388,41,62,67
207403,48,47,60
207458,52,57,69
207500,44,66,75
207582,46,53,58
207661,20,19,24
207722,28,29,42
207847,16,34,36
207856,12,28,21
207865,17,32,37
207971,49,69,77
208488,30,30,48
208646,17,20,34
208725,45,64,37
208822,57,60,75
209056,70,71,80
209065,63,71,76
209241,50,50,NA
209287,51,52,57
209409,45,60,51
209506,22,44,49
209542,35,63,71
209551,56,72,77
209603,23,31,48
209612,61,63,73
209807,22,46,50
209825,72,79,83
209922,64,71,80
210076,25,60,71
210146,25,45,46
210304,36,38,52
210331,61,63,68
210401,61,63,75
210429,24,29,49
210492,56,57,59
210571,49,51,62
210669,66,72,76
210739,0,66,72
210775,43,53,67
211024,73,89,88
211088,61,58,69
211158,40,54,64
211273,77,NA,84
211291,86,89,91
211352,49,45,61
211361,36,46,54
211431,45,64,57
211440,76,88,93
211468,40,0,51
211477,35,41,33
211556,66,NA,70
211583,47,51,60
211608,12,22,31
211644,39,46,56
211893,30,79,60
211981,54,55,63
212009,80,79,86
212054,26,67,72
212106,71,77,83
212115,37,46,58
212133,54,50,63
212160,33,36,49
212197,65,67,71
212452,0,0,0
212577,78,85,85
212601,51,66,69
212656,62,69,75
212674,77,76,85
212805,82,82,88
212832,49,53,63
212911,83,86,92
212984,40,41,65
213011,56,61,71
213020,40,49,61
213251,77,74,81
213303,35,45,48
213321,55,61,67
213349,38,48,58
213358,38,48,59
213367,57,61,69
213385,84,85,91
213400,51,47,72
213507,73,72,82
213543,80,90,90
213598,31,33,57
213613,40,52,56
213668,57,62,71
213783,39,51,51
213826,52,56,74
213987,59,67,70
213996,75,80,79
214041,37,53,59
214069,61,55,76
214148,69,NA,72
214157,66,67,71
214166,40,44,49
214175,80,81,86
214272,36,43,57
214591,53,69,73
214625,53,69,73
214634,53,69,73
214643,53,69,73
214652,53,69,73
214670,53,69,73
214689,53,69,73
214698,53,69,73
214704,53,69,73
214713,53,69,73
214731,53,69,73
214740,53,69,73
214759,53,69,73
214768,53,69,73
214777,53,69,73
214786,53,69,73
214795,53,69,73
214801,53,69,73
214810,53,69,73
214829,53,69,73
214883,0,25,50
214971,62,69,61
215053,44,53,39
215062,86,94,97
215105,55,56,65
215114,28,49,68
215132,69,74,80
215266,34,41,39
215275,25,26,41
215284,40,57,57
215293,65,79,86
215442,53,59,60
215637,11,69,65
215655,52,65,64
215691,41,44,52
215743,63,69,76
215770,75,79,83
215798,66,62,76
215929,79,80,86
215947,52,56,71
216010,40,55,62
216038,54,67,68
216047,40,40,NA
216278,68,64,78
216287,86,94,94
216311,62,62,NA
216339,52,71,76
216357,42,45,62
216366,56,64,73
216524,77,77,86
216542,31,38,51
216597,87,89,90
216667,67,74,77
216694,60,65,67
216764,54,68,82
216807,60,68,71
216852,55,61,69
216931,52,61,66
217013,53,50,65
217040,0,71,NA
217059,45,61,66
217156,83,94,97
217165,77,81,81
217235,55,58,69
217402,84,85,89
217420,22,45,51
217484,52,66,71
217493,72,83,92
217518,60,64,70
217536,73,76,79
217606,35,54,56
217624,13,15,27
217633,63,56,72
217688,28,34,46
217721,14,17,34
217749,54,63,68
217776,45,51,57
217819,57,61,68
217864,66,74,80
217873,39,48,53
217882,60,80,88
217891,13,67,86
217907,34,37,41
217925,46,47,58
217934,54,NA,60
217961,35,NA,58
217998,40,33,57
218061,20,40,46
218070,77,79,86
218229,27,37,48
218238,26,26,52
218399,4,25,26
218414,31,52,55
218441,46,56,62
218539,62,68,74
218645,21,28,45
218654,20,32,31
218663,64,72,80
218724,33,43,50
218733,14,29,42
218742,27,42,52
218919,33,39,43
218964,44,57,66
218973,82,86,84
219000,69,67,74
219046,19,33,41
219082,29,43,43
219091,46,44,66
219198,47,56,56
219204,9,0,22
219213,0,0,0
219259,31,41,55
219277,1,2,5
219295,21,19,50
219347,16,47,56
219356,36,54,59
219374,17,9,6
219383,47,58,67
219471,42,56,62
219505,0,40,25
219602,23,37,48
219639,34,55,56
219709,60,67,74
219718,20,29,35
219790,38,38,51
219806,49,54,59
219833,36,63,58
219949,32,35,56
219976,57,63,71
220002,50,57,43
220075,30,42,55
220181,38,50,50
220206,37,57,50
220215,50,59,57
220473,50,59,67
220516,48,55,62
220552,24,33,34
220598,12,15,31
220604,5,7,20
220613,41,52,64
220631,45,58,54
220701,26,34,37
220710,41,41,60
220808,35,45,58
220862,28,50,56
220978,25,40,52
221351,73,77,82
221519,72,72,86
221661,27,50,59
221731,33,34,47
221740,28,44,52
221759,52,69,76
221768,26,45,49
221838,13,27,35
221847,31,50,61
221892,49,49,63
221953,31,33,50
221971,61,64,71
221999,88,91,95
222178,47,56,65
222831,28,37,42
222877,10,8,43
222938,16,20,36
222983,68,67,78
223232,63,75,80
223463,67,63,68
224004,38,45,52
224147,19,33,41
224226,43,53,61
224244,2,9,10
224323,68,65,77
224527,37,37,50
224545,26,26,40
224554,25,33,52
224776,14,16,21
225201,39,48,58
225247,38,42,60
225399,30,40,47
225432,8,22,34
225502,8,21,18
225511,32,56,66
225548,23,28,46
225575,14,20,34
225627,26,49,53
225885,5,4,20
226091,15,32,35
226152,25,40,53
226231,49,60,69
226383,33,48,51
226471,34,39,59
226587,28,17,52
226833,21,38,51
226879,50,50,66
227216,35,48,63
227331,29,35,46
227368,22,39,51
227429,9,11,28
227526,11,32,39
227757,84,90,95
227845,50,56,69
227863,37,61,71
227881,32,50,57
228042,38,43,47
228149,48,54,64
228246,72,78,84
228325,34,34,56
228343,63,64,74
228431,32,44,56
228459,29,47,59
228468,32,36,43
228501,13,20,31
228529,30,46,52
228705,21,38,41
228723,55,78,86
228769,26,49,54
228778,66,82,88
228787,52,66,76
228796,13,32,42
228802,25,32,49
228875,71,78,85
228884,6,9,20
228981,38,44,69
