"UNITID","ROOMAMT","ROOMCAP"
446604,2500,550
446640,7500,300
447689,8380,1030
447847,4400,187
447953,4500,24
448840,7878,614
448886,9750,1646
449366,7000,36
450304,6408,64
451398,2400,212
451927,4892,294
454184,14400,324
455770,6990,200
456959,7400,267
457484,6600,20
461120,500,12
461795,4500,230
462354,7710,226
464226,8500,380
476601,2450,155
476717,2000,125
480189,5200,335
480967,5445,84
481225,1800,36
482149,6000,1228
482158,4910,1820
482680,5954,2772
482699,5130,506
483018,4622,221
483124,8009,49
485111,3150,278
486017,3000,26
486026,3100,102
486053,3600,17
486257,4050,200
486284,6700,329
486460,0,45
486594,5600,24
486840,7200,5200
486901,3650,645
487092,8638,922
487320,4993,2320
487524,5148,1193
487746,3500,35
487904,3393,38
488101,1200,30
488305,3000,177
488527,1250,196
488554,0,64
488679,4442,36
488925,675,160
489335,700,10
490133,6000,150
490276,1800,50
490319,1400,60
490753,1210,30
490805,5595,744
491057,1600,20
491525,1760,60
491598,17518,20
491622,3040,140
491932,6175,28
493619,7975,108
494603,2700,967
