"UNITID","ROOMAMT","ROOMCAP"
152992,4494,570
153001,4941,864
153108,4892,1405
153126,4700,581
153144,4670,1260
153162,4500,1060
153214,4800,224
153269,5892,1758
153278,5150,982
153296,3780,411
153302,3750,268
153311,4050,72
153320,3310,230
153366,3490,870
153375,4846,894
153384,6278,1340
153472,2280,648
153533,2990,507
153603,4783,11156
153621,4140,533
153658,7620,6737
153773,3692,40
153825,4000,1059
153834,4560,2100
153861,3400,550
153922,4950,152
154004,5320,883
154059,2937,396
154095,4699,3770
154174,6000,142
154235,6816,1671
154350,4276,1250
154378,5250,233
154493,4017,752
154527,5290,1409
154536,4150,44
154572,3950,543
154590,3102,757
154688,3950,576
154712,5680,1538
154721,8100,677
154749,4890,492
154855,4000,350
154934,3704,315
155025,6120,882
155061,3968,1731
155089,3800,402
155098,3000,322
155140,460,804
155186,3859,471
155195,3060,528
155201,2750,280
155292,4740,158
155317,6084,5529
155335,4574,400
155511,3599,572
155593,2608,128
155618,1742,253
155627,5105,470
155715,3072,348
155812,4150,333
155858,2730,250
155900,3780,483
155937,3516,635
155973,4150,595
156082,5413,1020
156189,2990,524
156213,4304,1181
156286,4800,1085
156295,3592,1390
156408,5370,1407
156417,2240,100
156620,5930,4450
156745,4900,1480
157030,1940,100
157058,3340,919
157085,8930,8103
157216,3420,1135
157289,5234,3688
157298,5418,82
157377,4400,407
157401,5424,3380
157748,4468,511
157757,4900,340
157793,6435,512
157809,4725,485
157818,6090,739
157863,3300,435
157951,4678,5266
158477,7360,614
158802,6156,695
159009,5572,2500
159373,4356,440
159382,4950,390
159391,8030,7861
159407,7140,217
159568,2282,720
159647,3000,2660
159656,7430,1493
159717,4250,992
159939,5710,1604
159948,2675,503
159966,6580,1376
159993,2994,1880
160038,5404,1492
160065,7200,115
160409,7950,175
160612,5050,2742
160621,5610,2300
160630,6480,698
160649,8753,240
160658,6590,3717
160755,9010,4071
160959,6210,168
161004,7372,1749
161022,2100,14
161086,7620,1973
161138,4100,253
161217,6000,36
161226,5356,997
161235,4460,225
161244,4600,209
161253,5518,3650
161299,4202,652
161341,4850,349
161484,2832,154
161509,8650,301
161545,6038,561
161554,5200,1365
161563,5690,500
161572,6620,570
161581,3770,125
161688,6000,232
162007,7616,1400
162061,6950,220
162210,4470,400
162283,5985,650
162584,5404,1307
162609,6838,172
162654,8072,1345
162760,6600,663
162928,9452,2762
163046,11135,3368
163259,8300,424
163268,7234,4022
163286,7755,12025
163295,10360,997
163338,5514,1798
163453,6696,2690
163462,6780,1445
163532,3300,370
163851,7160,2248
163912,7850,1507
163976,6350,378
164076,7446,5908
164155,0,4667
164173,8656,1853
164216,6180,1293
164270,5408,1410
164368,13500,555
164447,7350,860
164465,8300,1858
164562,8310,1859
164580,10828,1939
164614,4300,120
164720,6750,754
164739,10290,3350
164924,9300,7687
164988,10680,11612
165015,9060,2950
165024,8900,3294
165334,5600,1668
165529,8780,1524
165574,10900,1000
165699,10794,2613
165820,7713,1736
165866,8440,1803
165936,7100,1428
165945,4180,327
166018,8520,1180
166027,10927,13621
166054,11550,204
166124,8250,2507
166452,9860,861
166513,8610,4787
166629,7280,14915
166638,11352,1052
166656,14250,1322
166683,10430,5965
166692,7790,1615
166911,10500,294
166939,7504,2193
167288,6650,1020
167358,9250,9410
167729,10384,2282
167835,9100,2406
167899,7040,2129
167987,9030,4018
167996,10379,2198
168005,14000,1642
168148,8220,3976
168218,8824,2209
168227,11426,2146
168263,8136,2635
168281,7612,1768
168342,7600,2014
168421,8736,2240
168430,8428,1577
168528,5530,1690
168546,6080,1730
168591,6262,1369
168607,3700,64
168740,4900,1264
168786,4500,900
168847,4300,940
168883,3200,100
169099,4200,189
169248,5164,5960
169363,8050,450
169424,3617,85
169442,6300,626
169479,5168,852
169910,5457,3604
169974,6200,108
169983,5100,435
169992,3800,96
170082,6150,6012
170286,5640,1119
170301,4880,2426
170444,5800,392
170532,4929,881
170620,7252,188
170675,7260,909
170806,5500,400
170967,4590,310
171100,4374,17445
171128,6137,3267
171395,3700,134
171456,5874,3202
171483,5475,503
171492,5620,944
172051,4430,2471
172291,5250,70
172307,6500,390
172334,4750,1097
172440,4624,186
172644,6692,2881
172705,8160,126
173045,5560,1079
173063,3200,96
173124,5434,1267
173142,3810,520
173160,5900,1845
173258,7704,1854
173300,3740,1238
173638,2500,16
173647,6460,2124
173665,5150,922
173735,3380,112
173805,4790,116
173896,2760,155
173902,6762,1316
174066,6278,7555
174075,4616,593
174127,5780,291
174251,4100,1031
174321,2960,56
174358,6312,1410
174437,4340,913
174491,5810,1111
174525,3200,114
174604,3580,94
174747,5464,1664
174783,5582,2977
174792,5274,1529
174817,5230,1064
174844,5400,2785
174862,4560,519
174899,5602,923
174914,6812,2352
175005,5500,800
175078,5218,927
175139,7700,22
175157,4200,304
175227,9228,48
175272,5950,2336
175342,7360,2032
175430,4200,410
175519,1800,419
175616,4530,1277
175643,1500,819
175652,2500,590
175786,2620,1634
175829,1600,1000
175856,5744,2464
175883,1570,886
175980,7950,805
176008,1100,487
176017,6264,5106
176035,4434,665
176044,4386,1015
176071,2600,878
176080,6440,5333
176169,1600,791
176178,1400,1069
176336,2000,67
176372,6800,3500
176406,4000,670
176479,3000,899
176628,4350,351
176789,2680,260
176947,4000,813
176965,5612,3994
177065,5267,531
177083,5683,125
177126,3840,181
177144,3895,850
177214,5860,1039
177339,4304,1454
177418,5320,280
177551,6741,600
177676,3870,204
177746,8200,186
177834,6180,44
177940,3728,1033
177977,3600,144
178004,6123,22
178059,7800,1070
178208,3710,259
178369,5000,1189
178387,5133,1255
178396,6550,6392
178402,7233,1160
178411,6855,2300
178420,5450,1103
178448,2800,54
178518,4800,35
178615,5848,2360
178624,5272,2963
178721,4780,396
178891,3700,200
178989,4990,36
179043,6240,931
179159,7842,4115
179265,6663,500
179326,3400,1020
179539,2704,156
179548,6636,601
179557,6327,2658
179645,3440,184
179715,3043,140
179867,11650,7180
179894,6120,863
179946,5616,625
179955,5640,1051
179964,5150,748
180081,4534,452
180106,5036,1015
180151,3300,140
180179,3740,513
180197,5464,124
180258,5350,319
180373,3092,181
180416,4534,452
180489,4294,3441
180522,2470,350
180595,4140,571
180647,2475,99
180692,3244,420
180771,9819,25
180814,6870,331
180832,5560,116
180948,3706,1285
180957,3250,4
180984,3750,976
181002,6260,2517
181020,4680,860
181127,4840,730
181215,5156,2348
181297,6885,100
181312,3020,357
181330,3850,684
181376,5100,200
181446,5720,919
181464,7280,6478
181491,5520,536
181534,4674,601
181543,1900,32
181738,4120,950
181765,2923,220
181783,3990,1556
182281,5880,2850
182290,7150,3192
182306,4032,116
182458,6946,200
182634,8420,890
182670,9879,3733
182795,8100,1364
182980,7610,991
183026,9000,1995
183044,7472,6859
183062,7542,2018
183071,7472,47
183080,7450,2536
183099,6720,380
183123,8220,112
183211,6820,450
183275,4850,90
183974,7910,722
184348,9264,1479
184603,8940,991
184694,8986,1570
184773,5600,497
184782,8314,6693
185129,11200,576
185174,7930,46
185262,11418,1974
185572,8412,1988
185590,11084,5100
185679,6384,29
185828,9110,1960
186122,4300,420
186131,10090,5151
186201,8850,2621
186283,10020,2716
186371,8831,820
186380,7971,15862
186399,8615,2053
186432,9904,827
186584,10192,2505
186867,8910,1801
186876,8396,3485
187134,9516,4000
187444,7750,2605
187596,2280,474
187648,3566,1103
187666,3240,258
187745,4392,186
187897,3966,534
187903,1650,363
187912,1816,965
187985,4890,2492
188030,5518,3517
188182,4700,244
188261,3150,30
188304,5990,382
188340,10880,200
188429,10770,1300
188438,8160,408
188526,6800,750
188641,6418,1486
188669,10175,40
188678,18315,144
188696,20150,45
188854,9750,941
189097,10826,2357
189501,22104,384
189547,8372,355
189705,5880,1070
189848,8006,740
189857,2500,310
189981,4774,46
190044,8240,2498
190099,7020,2815
190150,8718,12750
190248,7800,437
190372,12638,170
190415,9152,7200
190424,11200,729
190442,6360,277
190451,6000,40
190503,8080,1770
190512,15499,398
190558,14745,442
190567,12710,589
190576,15900,111
190594,6454,650
190600,18375,210
190637,10926,19
190664,12752,510
190725,9150,688
190840,7706,465
191126,9762,2200
191205,7700,208
191302,7900,288
191320,10680,68
191339,6600,449
191515,7850,1904
191533,6654,1223
191612,6700,650
191630,7955,1900
191649,10960,3500
191676,5134,1015
191968,8770,4480
191986,7730,340
192022,7190,294
192040,12900,158
192192,5912,902
192271,16840,372
192323,8800,1578
192448,8894,2331
192712,10790,500
192749,8680,1124
192819,10000,3486
192864,15722,766
193016,9750,744
193052,2100,200
193061,1800,40
193070,2000,140
193247,3065,100
193283,7000,459
193292,11480,381
193308,7800,1000
193326,6980,772
193353,9190,1095
193405,8755,714
193584,7860,1365
193654,15000,1887
193751,5180,204
193821,23436,61
193830,10392,504
193900,13548,12994
193973,5400,1417
194073,15000,75
194091,9500,630
194116,16600,17
194222,6270,824
194392,8500,781
194569,3500,280
194578,9422,1825
